Harvest a Field
# first street, first avenue, num streets, num avenues showing 
0 0 8 15
# intersection size (in pixels) 
38
# things
   
   becker.robots.Thing 1 1

# wall
   becker.robots.Wall 1 1 Direction.WEST
   becker.robots.Wall 2 1 Direction.WEST
   becker.robots.Wall 3 1 Direction.WEST
   becker.robots.Wall 4 1 Direction.WEST
   becker.robots.Wall 5 1 Direction.WEST
   becker.robots.Wall 5 1 Direction.SOUTH
   becker.robots.Wall 5 3 Direction.SOUTH
   becker.robots.Wall 1 3 Direction.EAST
   becker.robots.Wall 2 3 Direction.EAST
   becker.robots.Wall 3 3 Direction.EAST
   becker.robots.Wall 4 3 Direction.EAST
   becker.robots.Wall 5 3 Direction.EAST
   becker.robots.Wall 1 1 Direction.NORTH
   becker.robots.Wall 1 2 Direction.NORTH
   becker.robots.Wall 1 3 Direction.NORTH


   becker.robots.Wall 1 5 Direction.WEST
   becker.robots.Wall 2 5 Direction.WEST
   becker.robots.Wall 3 5 Direction.WEST
   becker.robots.Wall 4 5 Direction.WEST
   becker.robots.Wall 5 5 Direction.WEST
   becker.robots.Wall 5 5 Direction.SOUTH
   becker.robots.Wall 5 7 Direction.SOUTH
   becker.robots.Wall 1 7 Direction.EAST
   becker.robots.Wall 2 7 Direction.EAST
   becker.robots.Wall 3 7 Direction.EAST
   becker.robots.Wall 4 7 Direction.EAST
   becker.robots.Wall 5 7 Direction.EAST
   becker.robots.Wall 1 5 Direction.NORTH
   becker.robots.Wall 1 6 Direction.NORTH
   becker.robots.Wall 1 7 Direction.NORTH


   becker.robots.Wall 1 9 Direction.WEST
   becker.robots.Wall 2 9 Direction.WEST
   becker.robots.Wall 3 9 Direction.WEST
   becker.robots.Wall 4 9 Direction.WEST
   becker.robots.Wall 5 9 Direction.WEST
   becker.robots.Wall 5 9 Direction.SOUTH
   becker.robots.Wall 5 11 Direction.SOUTH
   becker.robots.Wall 1 11 Direction.EAST
   becker.robots.Wall 2 11 Direction.EAST
   becker.robots.Wall 3 11 Direction.EAST
   becker.robots.Wall 4 11 Direction.EAST
   becker.robots.Wall 5 11 Direction.EAST
   becker.robots.Wall 1 9 Direction.NORTH
   becker.robots.Wall 1 10 Direction.NORTH
   becker.robots.Wall 1 11 Direction.NORTH






